CODGEO,POP_MUN,TX_TOT_0A24
01004,14359,"32,5"
01031,3646,"32,1"
01034,8909,"29,5"
01053,40490,"31,3"
01160,9236,"29,1"
01262,7074,"33,3"
01283,22258,"32,8"
01354,9635,32
02168,14189,"30,9"
02173,11874,"31,4"
02304,2915,"35,6"
02381,9346,"31,7"
02408,25219,"31,9"
02691,55698,"31,9"
02722,28472,"31,6"
02738,13938,"31,7"
02810,10797,"32,6"
0309503310,38870,"24,2"
0310103185,46872,"26,2"
03185,37839,"27,1"
0318503211,40247,"26,7"
03190,19474,"27,1"
03310,25325,"23,1"
04070,16512,"27,7"
04112,22412,"26,5"
05061,40255,"28,7"
0602906030,116512,"23,3"
06033,11756,"32,8"
06054,4317,"32,9"
06069,50916,"29,6"
06088,342295,"27,9"
0608806114,347702,"27,9"
0608806123,371186,"27,6"
06155,26465,"25,1"
06157,19052,25
07010,16075,"28,4"
07019,11803,"27,3"
07186,8305,"26,3"
07319,8292,"30,5"
08105,48991,"29,1"
08362,7730,"27,9"
08409,18134,29
09122,9731,"25,9"
09225,15744,"30,5"
09261,6289,25
100811026510387,75492,"34,2"
10297,4867,"30,8"
10323,14352,"29,6"
10333,11770,"29,9"
10387,59671,"33,9"
11069,46724,"28,4"
11203,11223,"30,1"
11206,10166,"23,3"
11262,52802,"27,5"
12176,11604,"29,2"
12300,11909,"24,8"
13001,141545,"32,3"
13004,52566,"27,5"
13005,45303,"29,1"
13014,13937,"31,5"
13027,15780,"27,6"
13041,19844,"30,8"
13047,42937,"29,9"
13054,33986,"30,8"
13055,855393,"31,4"
1305513070,861657,"31,4"
13056,47904,28
13063,25002,"32,3"
13067,3114,"30,2"
13077,17208,"29,3"
13103,44263,"30,3"
13106,10713,"29,5"
13108,13941,"32,5"
13117,34493,"32,5"
14118,107229,"36,2"
1411814271,111651,"35,9"
1411814341,118729,"35,9"
14167,5973,"32,1"
14327,21393,"36,7"
14333,7676,"29,5"
14366,21132,"29,1"
15014,26572,"25,1"
16015,41970,"31,4"
16102,18705,"27,5"
16113,7466,"31,1"
16374,9366,"30,1"
17299,24761,"26,4"
17300,74344,31
17306,18138,16
17415,25601,"23,6"
18033,67189,"29,1"
18197,10238,"22,2"
18279,27113,"26,2"
19031,46794,"27,8"
21054,21838,"27,4"
21166,13982,"30,8"
21231,153003,"34,7"
21355,8981,"29,2"
21617,11131,"29,1"
22050,13990,"23,8"
22113,19627,"29,1"
22215,11569,"28,6"
22278,45331,"30,8"
23096,13143,26
24037,28063,"24,4"
24138,8108,"25,3"
2413824322,38144,"28,2"
25031,14552,"30,1"
25056,116952,"35,6"
25057,5806,"34,5"
25284,5480,"32,6"
25388,25697,33
25462,17398,"28,9"
25547,3975,"29,8"
25580,10264,"31,1"
26166,6162,"32,4"
26198,36643,"30,1"
26235,12936,"30,7"
26281,33632,"29,3"
26325,6098,"35,4"
26362,61767,"31,4"
27056,10275,"25,6"
27229,49722,"34,2"
27375,18023,"31,3"
27467,10757,"28,3"
27681,24064,"32,1"
27701,12969,"41,7"
28085,38840,29
28088,13226,29
28134,31373,36
2813428404,43420,"35,4"
28218,16149,"29,9"
28229,10368,"33,7"
28280,10496,"25,2"
28404,12047,34
29019,139386,"34,5"
29039,18867,"21,9"
29232,63532,"28,8"
2A004,67507,"25,8"
2A247,11354,"28,2"
2B033,42254,"28,2"
30007,40711,"27,8"
30010,3377,"24,9"
30028,18218,"29,1"
30032,16036,"31,4"
30132,5176,"26,4"
30189,150564,"31,9"
30202,10393,"27,1"
30227,3247,"22,1"
30258,13641,"31,7"
30334,8573,22
30341,11195,"29,5"
31069,22969,"29,5"
31149,38302,32
31157,16638,"32,1"
31395,24725,"29,6"
31483,11241,"26,4"
31555,458298,"35,8"
32013,21962,"26,1"
33032,6991,"30,4"
33039,26104,"30,4"
3303933063,269730,"34,2"
33063,243626,"34,6"
3306333119,266508,"34,4"
3306933162,44969,"28,6"
3311933167,39413,"31,7"
33138,8276,"27,9"
33162,21762,"30,2"
33167,16531,"30,5"
33192,24439,"31,1"
33249,20770,"34,4"
33281,68386,"29,2"
33318,60763,"34,7"
3332433402,6621,"26,1"
33522,41517,"40,6"
34003,25253,"22,3"
34028,6241,"24,7"
34032,74811,"29,9"
34108,22942,"26,4"
34142,7467,"27,6"
34145,25006,"31,4"
34172,272084,"37,1"
34301,44270,"24,1"
35236,9114,"27,8"
35238,211373,"38,6"
35288,44919,"23,5"
36044,45209,"28,6"
36088,12420,"25,1"
37003,13246,"29,4"
37122,37703,"30,8"
37195,10276,"33,5"
37233,15404,"31,4"
37261,134803,"34,7"
38053,27163,"31,7"
38087,5609,"35,2"
38097,4405,"34,1"
38151,35684,"32,6"
38169,22066,"30,5"
38185,160215,36
38193,16225,"41,6"
38298,6730,31
3829838344,14832,"31,4"
38317,11133,"34,2"
38318,5148,"31,8"
3831838544,34473,"30,8"
38416,8086,"25,7"
38421,38019,"41,6"
38544,29325,"30,6"
38553,18168,"40,5"
38563,19988,"28,6"
39198,23312,"29,2"
39300,17063,"26,4"
39478,10346,"27,2"
40088,20776,24
40192,31334,"27,4"
40281,9337,"28,5"
41018,45539,"32,8"
41194,16891,"26,6"
41269,17121,"26,6"
42005,9844,"31,5"
42044,12523,"30,8"
4204442183,20412,32
4210342271,9578,"32,1"
42147,15673,29
42183,7889,"33,7"
42186,14658,"33,2"
42187,35507,"28,2"
42207,35308,"30,6"
42218,172023,"33,3"
43157,18619,"29,5"
44036,11866,"28,2"
44109,292718,"34,8"
4410944162,336502,"34,3"
44114,24922,"29,8"
44143,39568,"31,1"
44162,43784,"31,3"
44184,68513,"29,6"
45068,12812,33
4506845208,27138,"31,1"
450684520845338,33951,"30,1"
45147,20677,"32,7"
45155,14624,30
45208,14326,"29,5"
45234,114375,"34,9"
45252,9039,"32,7"
45284,19571,"33,9"
45285,16488,"32,5"
45315,5440,"29,8"
46042,19616,"25,5"
47001,34344,31
47157,18028,"26,9"
47252,6132,"27,7"
47310,8914,"26,9"
47323,23462,"25,8"
49007,150125,38
49099,53890,"30,3"
49328,27413,"28,1"
49353,13125,"34,5"
50025,10183,"26,1"
50129,80978,"29,5"
50147,8951,"29,2"
50502,19285,"29,9"
51108,44899,"31,3"
51230,23413,"28,5"
51454,182592,"36,1"
51649,13174,"29,8"
52121,22560,"29,2"
52269,7877,"26,5"
52448,25626,"28,7"
53130,50479,"32,1"
54115,6885,"28,4"
54184,8667,"27,2"
54215,6773,"29,4"
54261,4361,"29,9"
54274,9329,"29,9"
54304,14681,"31,8"
5430454357,24477,"32,3"
54323,14092,"28,8"
54329,19516,30
543395439554482,121784,"37,1"
5435754395,113868,"38,1"
54382,7946,"32,8"
5439554547,133908,"39,3"
54431,14792,"31,8"
54526,8041,"33,4"
54528,16128,"31,9"
55029,15950,"28,2"
55545,17923,"29,7"
56007,12946,"28,2"
56083,15765,"26,6"
56098,21874,"28,7"
56121,57961,"29,8"
56260,53032,"29,2"
57058,7439,"30,6"
57160,13434,"25,1"
57206,13965,"32,2"
5722457690,7402,29
57227,21596,"29,5"
5724057332,20145,"27,9"
57269,6977,27
57332,6867,"26,8"
57463,118634,"33,1"
5746357751,132129,33
57606,16126,"25,9"
57630,12306,"29,3"
57631,21572,"25,8"
57672,41627,"27,1"
57683,6315,"32,3"
57757,15898,"29,1"
58086,10629,"21,9"
58194,34841,"27,8"
5900859024,14935,35
59009,62616,39
590095935059410,315620,"39,7"
59014,13092,"35,7"
5901459079591125949159606,87438,"34,9"
59017,25978,"35,3"
590245918559390,10507,"31,3"
59028,7369,"33,1"
5902859509,13521,"32,2"
590645949159632,19390,"32,3"
5911259207,16241,"35,3"
591125920759491,28923,"34,7"
59122,32852,"31,2"
59139,14789,"33,2"
59153,9741,"34,1"
59155,22015,"29,8"
59163595125959959650,252476,"38,6"
5916559178,47711,"32,7"
591725917959361,35315,38
591725920559361,33565,38
59178,41189,"33,2"
5917859234,47047,"33,3"
591785956959654,64582,"33,7"
5917859654,48757,"33,9"
59179,10964,37
59183,89882,"29,6"
59205,9214,"36,6"
592055936159504,16810,"37,2"
59220593465935059360,272811,"39,4"
59225,7103,"33,4"
59230,5367,"32,8"
59249,12581,"32,6"
59253,7623,"33,6"
59271,21364,"40,4"
59291,14271,"35,6"
59291593655939259424,52725,"34,4"
59295,21737,"31,5"
592995936759512,128024,"40,6"
59314,3575,"35,6"
59324,9897,"33,5"
59328,28491,"31,5"
59350,231491,"40,2"
59360,20650,"36,8"
59365,6574,"38,6"
59378,39392,"29,9"
5938359606,54186,"33,7"
59390,4140,"32,6"
59392,30567,"32,9"
59414,4776,"29,5"
5941459456,10726,"31,8"
5944759613,10184,"33,6"
59452,5443,"34,4"
5945262321,10026,"34,3"
59456,5950,"33,6"
59481,5017,"28,8"
59484,6317,"36,7"
59491,12682,"33,9"
59507,18570,"33,7"
59512,95866,"42,6"
59526,16653,"29,5"
59544,11108,"29,2"
59560,12571,"32,7"
5956459606,46113,"34,2"
59569,15825,"33,1"
59574,12863,"33,6"
59588,8202,"27,9"
59599,93974,"37,8"
5959959650,135496,"36,6"
59616,9877,"31,6"
59648,14179,"33,1"
59650,41522,34
59654,7568,"37,2"
60057,55252,"34,3"
60157,10714,"30,8"
60159,40430,"34,6"
60175,34262,"40,7"
60176,14962,"31,5"
60360,7204,"31,3"
60395,13995,"37,7"
60414,12843,"37,1"
60463,18753,"36,7"
60471,13894,"34,1"
60509,12637,"32,9"
60684,6431,"36,1"
61001,26350,"31,2"
61006,13903,"27,1"
61169,14761,"28,9"
61214,7983,"28,6"
62004,7852,"29,4"
6200462041,48682,"32,9"
62014,9947,"30,1"
62032,4100,"31,5"
620406252562765,35132,"32,8"
62041,40830,"33,5"
62048,10863,"33,7"
6204862188,13892,"32,9"
620486219462555,22158,"32,7"
6204862217,13778,33
62065,17876,35
6206562771,27381,"34,9"
6208362443,13692,33
62119,25463,"32,8"
6211962848,28899,"32,4"
6212662480,11847,"32,7"
6213362351,14701,"34,7"
6213362724,16817,"34,6"
62160,42537,"33,6"
6216062667,52169,"33,6"
6216062758,53860,"32,7"
62178,22802,"32,3"
6217862270,29577,"32,5"
6217862400,27803,"32,4"
6218662563,20421,"33,9"
62193,72520,"36,7"
6219462270,12338,"32,6"
62215,16873,"31,5"
62249,6604,"37,5"
62250,10639,"32,2"
622506235162587,27354,"33,2"
622766240162464,12592,"32,2"
6229162498,34512,"31,8"
62318,11158,"32,2"
6238662528,13480,"34,4"
6240062457,12474,"32,2"
62413,12244,"31,2"
62427,26748,"33,6"
6242762587,36975,"33,8"
62498,31647,32
624986251062528,69745,33
624986252362842,44747,"32,4"
62510,31517,"34,2"
62516,10184,"33,6"
62560,5145,"33,4"
62563,7743,36
6257062724,20312,"32,4"
6257062771,21213,"33,1"
62617,12424,"31,2"
62643,14390,"32,2"
62667,9632,"33,4"
62724,8604,"33,6"
62737,6363,"31,3"
6275362764,11271,"30,2"
62765,13992,"36,2"
62895,8268,"33,9"
62907,8534,"33,1"
63113,141463,"35,4"
63124,19287,"27,6"
63430,11308,27
64102,47492,"27,8"
64445,77575,30
65286,14644,"21,2"
6541765440,45775,"29,1"
65440,41062,"29,7"
66065,8450,"29,1"
66136,120959,"31,1"
67043,17432,"31,2"
6704367447,48882,"31,8"
67046,12718,"30,8"
67180,34419,"30,1"
67218,26455,30
67267,17450,"30,5"
67437,11609,27
67447,31450,"32,1"
67482,275718,"36,5"
68063,11664,"29,7"
68066,67956,"30,4"
6815468224,126933,"34,3"
68224,112063,"34,6"
68297,19907,"29,4"
68376,14666,"29,1"
69019,12031,"33,7"
69027,11429,30
69029,38746,"34,7"
6902969256,82833,"38,4"
69091,19574,"33,9"
690926911569264,48740,"32,9"
69096,9419,"33,8"
69123,500715,"34,3"
6912369259,562351,"34,7"
6914269149,32598,"31,4"
69143,7242,"28,8"
69152,10132,"33,4"
69199,17584,"38,3"
6919969259,79220,"37,9"
69204,20696,32
69243,10733,"30,7"
69256,44087,"41,5"
69259,61636,"37,8"
69264,36531,"33,4"
69266,147192,"36,4"
69275,26826,"31,6"
69282,31438,33
69286,30645,"35,7"
69290,42950,34
70279,5555,"28,9"
70285,10392,"27,5"
70310,8394,"29,2"
70311,7026,"27,4"
70550,15473,"27,3"
71014,13863,"24,8"
71076,45166,30
71153,22308,"25,1"
71270,33350,"29,8"
71306,18969,"24,8"
71540,3116,32
72003,11047,"31,2"
7209572181,151821,"31,5"
72181,144244,"31,5"
72264,12575,31
73008,29580,"24,3"
73011,19071,"28,2"
73065,58653,"33,2"
74012,34261,"32,1"
74042,12648,"32,9"
74081,17627,"31,2"
74133,11723,"25,8"
74243,12561,"32,3"
74281,34610,28
75056,2229621,"27,3"
76057,11957,"30,4"
7609576540,119006,"36,2"
76157,14621,"34,5"
7617876561,13314,"31,2"
76212,9515,"33,9"
76217,30214,"27,1"
76231,17343,"35,7"
76259,19381,"28,6"
76305,9378,"33,6"
76319,9937,"33,6"
76351,172074,"31,9"
76410,11188,"30,7"
76474,7036,"29,8"
76484,11505,"31,8"
76498,22426,"32,5"
76540,110755,"36,8"
76575,28738,"36,5"
7657576681,57442,"32,8"
77014,13761,"28,6"
7708377337,40551,"36,3"
77108,53569,"34,5"
77131,14725,"31,4"
77152,21094,"34,4"
77183,9504,32
77243,20718,32
77284,53766,"36,7"
77285,20713,"38,6"
7728577288,60779,37
77288,40066,"36,1"
77296,17500,"39,1"
77305,17173,"38,4"
77333,12824,"33,3"
77350,19917,"32,3"
77379,11940,"31,4"
77390,22559,37
77445,30068,"40,4"
77468,23669,37
77514,25889,"35,2"
78123,15102,"35,5"
78124,15205,"35,4"
78138,10013,"39,4"
78208,26290,"34,3"
78297,27546,"36,2"
78335,16040,"36,9"
78361,45052,"36,5"
78362,20251,"36,5"
78383,18827,"30,2"
78440,31487,"38,1"
78490,31342,"33,5"
78498,37461,31
78586,51599,"32,2"
78621,30979,"40,7"
78643,9698,"35,2"
78644,5978,"37,7"
79049,18962,"30,5"
79191,57393,29
79329,14230,"24,8"
80001,23821,"29,5"
80021,132699,"37,8"
81004,49342,30
81021,6148,"24,1"
81060,9688,"22,4"
81065,41636,"28,2"
81099,14334,"28,4"
81105,11807,"27,3"
82112,12564,"27,5"
82121,57921,"29,8"
83023,16450,"33,4"
83050,39174,"29,2"
83061,53039,"25,1"
83062,25298,"30,3"
83069,55713,"24,3"
83073,10183,"29,6"
83086,9328,"27,4"
83126,64523,"27,9"
83137,163760,"27,1"
84003,12325,"28,5"
84007,90305,"33,4"
84019,13776,"29,4"
84031,28422,30
84035,25636,"29,5"
84054,18955,"26,2"
84080,12015,"31,9"
84087,29193,"30,4"
84089,19498,29
84092,17344,"30,5"
84129,18500,"32,2"
84138,9519,"27,6"
85092,13647,"24,9"
85191,52732,"31,4"
8604186194,97401,"39,2"
86066,31262,"27,5"
86194,87427,"40,4"
8619486214,94523,"39,5"
87085,135098,"31,7"
88160,32188,"31,3"
88209,8436,"28,4"
88383,7774,"26,1"
88413,20471,"28,1"
89024,34869,"29,3"
89206,9690,"32,7"
89257,6938,"30,9"
89387,25018,"29,1"
9000890010,55019,33
90010,50196,"33,6"
9007590099,8933,"30,9"
91021,10707,29
91027,30094,"33,5"
91103,25624,"36,2"
91114,26066,"32,8"
91174,47632,"36,1"
9117491553,55105,"35,6"
9120191657,59813,"35,3"
91207,5494,"35,2"
91215,12565,"40,8"
91223,24502,"35,4"
91228,66703,"39,4"
91235,9219,"35,8"
91286,27716,45
9128691687,58848,"39,3"
91345,21657,"33,8"
91377,45902,33
91421,23565,"31,8"
9142191657,54691,35
91514,8444,"31,5"
91521,27312,"34,9"
91549,35868,"31,4"
91570,20057,"32,9"
91589,37206,"30,4"
91657,31126,"37,4"
91692,24914,"37,1"
92002,61727,"30,8"
92004,86020,"31,8"
9200492036,129239,"33,1"
92007,38520,"33,9"
92019,32623,"33,9"
92024,59255,31
92025,84577,"33,6"
92036,43219,"35,4"
92050,92227,"35,4"
92078,25466,"36,3"
930019300893055,180725,35
930019302793066,227473,"36,3"
9300593071,132099,38
93006,35984,"32,1"
9300693048,140123,"31,9"
93007930089301093053,196589,"37,3"
9300793029,121038,"36,2"
9300793030,63013,"38,1"
9300893029,118043,"36,3"
93010,52865,"36,5"
9301093077,82030,"35,1"
93013,15708,"34,6"
9301493047,56670,"40,6"
93029,68241,"34,8"
93030,10216,"39,2"
93031,54857,"38,2"
93032,39276,34
93039,6982,"36,4"
93048,104139,"31,9"
930489305393063,170921,"33,4"
93050,34756,34
93051,62834,"34,1"
93053,41125,"36,2"
93055,53471,"31,4"
9305593061,71379,31
93059,28459,"38,9"
9305993066,137802,37
9305993072,64824,"39,5"
93063,25657,"34,8"
93064,43802,"33,4"
93066,109343,"36,4"
9306693072,145708,"37,3"
93070,47534,"32,3"
93071,49465,"38,6"
93072,36365,"39,9"
93073,34614,"36,2"
93078,35329,"38,3"
93079,12451,"40,6"
94002,44818,"31,1"
94003,19746,"32,5"
9400394037,36173,"31,6"
9400494044,39215,"35,4"
94011,16642,"37,1"
94016,29462,"35,7"
94017,75961,"34,6"
9401794019,94095,"34,4"
94022,42769,"33,6"
94028,89989,"34,1"
94033,53124,32
9403794043,42290,"31,6"
94038,31201,"31,8"
9403894076,88385,32
94041,58933,"31,5"
940449407494078,68210,"37,1"
94054,22377,"37,3"
94068,74133,"28,7"
94073,29280,"30,6"
94074,12819,"39,7"
94076,57184,"32,1"
94078,32575,"37,2"
94079,28190,"32,8"
94081,90075,"33,9"
95018,106817,36
9501895063,134672,"35,6"
950199527795680,67509,"37,9"
95063,27855,"34,2"
95127,61708,"40,9"
95218,16704,"35,3"
95219,28021,"31,3"
9521995252,61396,"31,8"
95252,33375,"32,1"
9525295582,59932,"32,5"
95268,41782,40
95277,26075,"37,7"
95280,31212,"39,5"
95306,27378,"34,7"
9532395637,32005,"37,1"
95424,20307,"37,4"
95427,13864,"37,3"
95476,16441,"33,2"
95487,11809,"38,1"
95488,8186,"34,6"
95500,29826,"34,7"
95555,20933,"31,5"
95572,23702,35
95585,57533,"40,7"
95598,17637,"31,8"
95607,25998,"32,9"
95680,27312,"39,1"
97101,57960,"33,8"
9710197120,73786,"33,9"
97104,5479,"29,5"
97105,11150,"31,5"
97107,19201,"31,2"
97117,22456,"31,2"
97120,15826,"34,5"
97129,20144,"33,2"
97209,84174,"28,8"
97213,40040,"31,1"
97222,23296,31
97228,17188,"27,2"
97302,54709,"43,8"
97304,25793,"49,7"
97305,10721,"49,2"
97307,30244,"47,3"
97309,21638,"37,5"
97311,41515,"60,7"
97407,35881,"41,1"
97408,31439,"39,2"
97409,56156,"41,9"
97410,36131,"41,3"
97411,142442,"37,1"
97412,37550,"35,3"
97413,33154,"35,1"
97414,52656,"40,7"
97415,104332,"35,4"
97416,81415,"37,3"
97418,32605,"37,5"
97420,22209,"39,7"
97422,76090,"37,7"
0,4856046,"39,1"
1,58918,"35,1"
2,27316,"31,9"
3,104402,"54,2"
200000321,91275,"33,9"
200000545,18510,"28,9"
200000628,24207,"29,3"
200000776,134672,"35,6"
200006385,94165,"35,3"
200006385200023430,497935,34
20000638593007,146962,"36,2"
200006682,52403,"27,2"
200010650,51911,"29,1"
200011773,86455,"30,2"
200017341,14468,"26,6"
200017846,53280,33
200018059,220055,"33,3"
200018406,32337,"26,4"
200018653,103801,"34,3"
200022523,60406,"35,8"
200023125,45343,"32,8"
200023240,26397,"30,7"
200023281,266518,"30,5"
200023307,48422,"26,4"
200023414,488906,"32,5"
200023430,403770,"33,7"
200023430249300088,817891,"35,2"
20002343093007,456567,"34,2"
20002343093077,432935,"33,6"
200023448,119408,"37,8"
20002344893005,202042,"37,7"
200023562,13340,"31,6"
200023737,40898,"25,2"
200027068,70354,"28,9"
200027183,261925,"28,5"
200027548,30921,"49,2"
200030195,536327,"27,1"
200030385,104620,"29,6"
200030583,48854,"29,2"
200030633,65559,"31,9"
200030674,59779,"26,4"
200033025,36187,26
200033090,113032,"35,1"
200033116,44810,"31,7"
200033124,40236,"28,8"
200033181,121684,"29,7"
200033199,21034,"36,6"
200033207,32691,"25,9"
200033371,156234,"32,8"
200033413,191777,"33,1"
200033579,102649,"30,7"
200033686,219130,"34,7"
200034361,78432,"29,2"
200034379,26844,"24,2"
200034692,68583,"27,5"
200034700,62192,"26,7"
200034718,25650,"27,7"
200034817,56222,"24,5"
200034825,28317,"24,9"
200034841,12870,"28,8"
200034916,22686,"26,2"
200035087,57602,"28,2"
200035129,19549,"21,7"
200035152,99378,"27,1"
200035319,109278,"23,4"
200035459,93363,"28,6"
200035590,37047,"31,9"
200035665,67803,"32,8"
200035715,105036,"27,4"
200035731,100580,27
200035749,87691,"35,8"
200035814,35718,"27,9"
200035863,32148,"26,7"
200035954,16779,"26,2"
200036093,87265,"36,3"
200036135,19316,"22,8"
200036168,21491,28
200036465,37972,28
200036473,59468,25
200036549,17648,"27,2"
200037133,34483,"31,8"
200038933,39982,"26,7"
200039857,101616,"27,9"
200039865,221810,"30,4"
200039915,159192,"23,4"
200039956,25791,28
200040004,41625,"28,7"
200040244,72828,"29,5"
200040277,112247,"32,4"
200040285,31179,"24,1"
200040442,46635,"27,6"
200040459,61847,"29,8"
200040483,212632,30
200040491,45748,31
200040566,50454,"29,5"
200040624,30421,"24,8"
200040673,92659,"32,1"
200040681,22783,"25,4"
200040715,442772,"33,4"
200040764,19829,"26,9"
200040905,29640,"23,2"
200040947,101093,"30,6"
200041226,20678,"22,4"
200041317,118277,"28,2"
200041515,40299,"29,9"
200041762,63528,"26,8"
200041788,104877,"28,3"
200041960,92488,"31,3"
200041960246200299,216787,"32,4"
200042141,35518,"27,1"
200042174,201024,"27,2"
200042190,158170,"33,2"
200042190245901160,348629,"33,3"
200042349,37230,"31,1"
200042646,20765,"22,2"
200042901,40791,"29,7"
200042935,57173,"31,5"
200043008,71280,"30,4"
200043065,28210,"28,7"
200043123,84426,26
200043156,29445,"29,8"
200043172,106694,"26,6"
200043255,47336,27
200043321,48374,"29,6"
200043396,126129,"32,7"
200043404,26452,"32,2"
200043487,24169,"23,6"
200043602,54126,"22,7"
200043917,35428,"28,1"
200044022,76413,"30,4"
200044055,225555,"31,8"
200044055246200364,467200,"32,3"
200044055246200802,260534,"31,6"
200044170,44787,28
200044550,59052,"32,9"
200044618,150798,"31,7"
200044691,58424,"30,6"
200044733,67841,"34,6"
200046977,1336994,"34,1"
200048775,76276,"24,6"
200049187,28469,"29,9"
240100610,24072,"34,9"
240100628,72415,"30,3"
240100750,85567,"31,6"
240100883,65771,"31,7"
240200261,72463,"31,1"
240200428,15137,"30,5"
240200477,52112,"30,1"
240200600,22077,"30,4"
240200618,31346,30
240200683,39315,"30,4"
240200691,15619,"31,1"
240300426,76955,"24,9"
240300608,59781,"25,7"
240300616,54226,"26,8"
240600585,176687,"26,3"
240600593,26182,"27,5"
240700310,27250,"25,4"
240700708,11089,30
240900324,11813,"23,5"
240900381,20897,"25,1"
240900407,28105,"29,5"
241000397,130588,"32,2"
241100593,125323,26
241200633,17883,"24,9"
241300177,98030,"30,4"
241300201,142818,"29,7"
241300268,103504,"28,5"
241300268241300391,1153339,"30,3"
241300276,383919,"30,2"
241300391,1049835,"30,5"
241300409,70982,"27,9"
241300417,83561,"28,1"
241400886,17204,28
241500230,53551,"25,5"
241600253,106143,"28,4"
241600345,34384,"25,9"
241700434,164332,"28,3"
241700640,81036,"18,8"
241800507,97862,"28,2"
242000354,56444,"27,2"
242010056,82326,"25,8"
242100410,248028,"32,7"
242200517,115882,"29,2"
