Nom structure;Adresse;Code postal;Département;Ville;Année(s) subvention Région;Montant subvention 2000;Montant subvention 2001;Montant subvention 2002;Montant subvention 2003;Montant subvention 2004;Montant subvention 2005;Montant subvention 2006;Montant subvention 2007;Montant subvention 2008;Montant subvention 2009;Montant subvention 2010;Montant subvention 2011;Montant subvention 2012;Montant subvention 2013;wgs84
MÉDIATHÈQUE SAINT-JOHN PERSE;2 rue Édouard Poisson;93300;93;AUBERVILLIERS;;;;;;;;;;;;;;;;48.9104747,2.385008
MÉDIATHÈQUE GEORGES PÉREC;8-10 rue du Marqis de Raies;91080;91;COURCOURONNES;;;;;;;;;;;;;;;;48.6293899,2.4135832
MÉDIATHÈQUE LES MUSES;101 rue de la Division Leclerc;91310;91;LINAS;;;;;;;;;;;;;;;;48.6305113,2.2650636
MÉDIATHÈQUE MUNICIPALE;2 route de la Creusée;91530;91;LE-VAL-SAINT-GERMAIN;;;;;;;;;;;;;;;;48.5657217,2.0601725
BIBLIOTHÈQUE LE GRENIER;5 place des Droits de l'Homme;91800;91;BOUSSY-SAINT-ANTOINE;;;;;;;;;;;;;;;;48.6891076,2.5297452
MÉDIATHÈQUE MUNICIPALE ELSA TRIOLET;1 esplanade Pierre-Yves Cosnier;94800;94;VILLEJUIF;"Subvention Région 2002 ; Subvention Région 2005";;;954363;;;354117;;;;;;;;;48.792716,2.359279
L'ECHO;53 avenue de Fontainebleau;94270;94;LE-KREMLIN-BICETRE;Subvention Région 2007;;;;;;;;1072029;;;;;;;48.8125976,2.361918
BIBLIOTHÈQUE MUNICIPALE GUY DE MAUPASSANT;121 rue Paul Doumer;78510;78;TRIEL-SUR-SEINE;;;;;;;;;;;;;;;;48.9794406,2.0040116
BIBLIOTHÈQUE INTERCOMMUNALE AIMÉ CÉSAIRE;1 place Victor Hugo;95400;95;VILLIERS-LE-BEL;;;;;;;;;;;;;;;;48.995181,2.4114545
MÉDIATHÈQUE MUNICIPALE;17 rue des Grands Prés;77750;77;ORLY-SUR-MORIN;;;;;;;;;;;;;;;;48.9044901,3.2293493
BIBLIOTHÈQUE MUNICIPALE JEAN STERLIN;31-33 avenue Jean Jaurès;77360;77;VAIRES-SUR-MARNE;;;;;;;;;;;;;;;;48.8732157,2.6372418
BIBLIOTHÈQUE MUNICIPALE;1 rue Jules Ferry;77174;77;VILLENEUVE-LE-COMTE;;;;;;;;;;;;;;;;48.8120728,2.8273782
BIBLIOTHÈQUE MUNICIPALE;97 Grande Rue;91490;91;ONCY-SUR-ECOLE;;;;;;;;;;;;;;;;48.3826612,2.4740792
BIBLIOTHÈQUE MONMOUSSEAU;17 avenue Gaston Monmousseau;94200;94;IVRY-SUR-SEINE;;;;;;;;;;;;;;;;48.8050449,2.3811945
BIBLIOTHÈQUE MUNICIPALE DE LA PLÉIADE;Mairie - Rue des Près;91340;91;OLLAINVILLE;;;;;;;;;;;;;;;;48.590985,2.21856
BIBLIOTHÈQUE;28 rue Martin IV;77390;77;ANDREZEL;;;;;;;;;;;;;;;;48.6113635,2.8128508
MÉDIATHÈQUE ÉDOUARD GLISSANT;1-5 place de la Libération;93150;93;LE-BLANC-MESNIL;;;;;;;;;;;;;;;;48.9838793,2.4284816
BIBLIOTHÈQUE ISLE SAINT LOUIS;21 rue Saint-Louis-en-l'Isle;75004;75;PARIS;;;;;;;;;;;;;;;;48.8514761,2.3573883
BIBLIOTHÈQUE MUNICIPALE DU CHÂTEAU;282 avenue de la Bretechelle;78370;78;PLAISIR;;;;;;;;;;;;;;;;48.8165131,1.9544954
MÉDIATHÈQUE DE FRONTENAC;Rue Sainte-Anne;78760;78;JOUARS-PONTCHARTRAIN;;;;;;;;;;;;;;;;48.8008282,1.8999345
BIBLIOTHÈQUE GEORGE SAND;21 rue Henri Thirard;94240;94;L'HAY-LES-ROSES;;;;;;;;;;;;;;;;48.7783104,2.3453448
BIBLIOTHÈQUE MUNICIPALE JEUNESSE;Centre social André Joly - 1 place du Jumelage;78170;78;LA-CELLE-SAINT-CLOUD;;;;;;;;;;;;;;;;48.844886,2.1328572
"BIBLIOTHÈQUE ""CULTURE ET BIBLIOTHÈQUE POUR TOUS""";5 rue Pierre Brossolette;95130;95;LE-PLESSIS-BOUCHARD;;;;;;;;;;;;;;;;49.0021687,2.2338669
BIBLIOTHÈQUE;Rue des Écoles;95230;95;SOISY-SOUS-MONTMORENCY;;;;;;;;;;;;;;;;48.9865257,2.2985084
BIBLIOTHÈQUE MUNICIPALE;8 rue des Sablons;95650;95;GÉNICOURT;;;;;;;;;;;;;;;;49.0873353,2.0656312
MÉDIATHÈQUE MUNICIPALE STENDHAL;3 place Mendès France;95310;95;SAINT-OUEN-L'AUMONE;;;;;;;;;;;;;;;;49.0449536,2.1074657
BIBLIOTHÈQUE MUNICIPALE;Grande rue;91630;91;LEUDEVILLE;;;;;;;;;;;;;;;;48.564443,2.330691
BIBLIOTHÈQUE MUNICIPALE;Place du Chariot;91410;91;DOURDAN;;;;;;;;;;;;;;;;48.5269822,2.0132799
MÉDIATHÈQUE LA BUANDERIE - ANNE CAPPEZZUOLI;Place Ferrari - Rue du Guet;92140;92;CLAMART;"Subvention Région 2003 ; Subvention Région 2005";;;;668184;;703857;;;;;;;;;48.7982087,2.2645047
BIBLIOTHÈQUE ALPHONSE DAUDET;Rue du Hameau;93600;93;AULNAY-SOUS-BOIS;;;;;;;;;;;;;;;;48.94784,2.5044953
BIBLIOTHÈQUE;4 allée Giverny;78290;78;CROISSY-SUR-SEINE;;;;;;;;;;;;;;;;48.8777113,2.1257298
BIBLIOTHÈQUE MUNICIPALE ANDRÈ MALRAUX;4 rue Albert Camus;94700;94;MAISONS-ALFORT;;;;;;;;;;;;;;;;48.8025069,2.4433579
BIBLIOTHÈQUE CLAGNY-GLATIGNY;9 rue Dauthiau;78000;78;VERSAILLES;;;;;;;;;;;;;;;;48.8129439,2.1433791
BIBLIOTHÈQUE MUNICIPALE;Place de la Libération;78670;78;VILLENNES-SUR-SEINE;;;;;;;;;;;;;;;;48.9397739,1.9990585
MÉDIATHÈQUE MUNICIPALE;90 bis rue Martre - Centre administratif;92110;92;CLICHY;;;;;;;;;;;;;;;;48.9038318,2.3055996
BIBLIOTHÈQUE VERCORS;Place de la Mairie;77860;77;SAINT-GERMAIN-SUR-MORIN;;;;;;;;;;;;;;;;48.8831311,2.8513416
BIBLIOTHÈQUE MUNICIPALE;Place de la Mairie;77140;77;NONVILLE;;;;;;;;;;;;;;;;48.2861187,2.7876636
BIBLIOTHÈQUE MUNICIPALE;Place de l'Église;77320;77;LESCHEROLLES;;;;;;;;;;;;;;;;48.762376,3.345817
MÉDIATHÈQUE SAMUEL BECKETT;24 rue du Port aux Meules;77260;77;LA-FERTÉ-SOUS-JOUARRE;;;;;;;;;;;;;;;;48.9470063,3.1309724
BIBLIOTHÈQUE BLEUETS;Place des Bouleaux;94000;94;CRETEIL;;;;;;;;;;;;;;;;48.8023592,2.4552196
MÉDIATHÈQUE ELSA TRIOLET;17 rue du Château d'Eau;91130;91;RIS-ORANGIS;;;;;;;;;;;;;;;;48.6476428,2.4002045
BIBLIOTHÈQUE MUNICIPALE;Rue Joseph Hémard;78130;78;LES-MUREAUX;Subvention Région 2006;;;;;;;546000;;;;;;;;48.9885419,1.9135749
BIBLIOTHÈQUE MUNICIPALE;5 rue Paul Doumer;78540;78;VERNOUILLET;;;;;;;;;;;;;;;;48.9723644,1.9839239
MÉDIATHÈQUE MUNICIPALE DU MOUSTIER;43 rue Langlois;91490;91;MILLY-LA-FORÊT;;;;;;;;;;;;;;;;48.4035121,2.4689828
BIBLIOTHÈQUE MUNICIPALE;14 rue Fournier;77390;77;OZOUER-LE-VOULGIS;;;;;;;;;;;;;;;;48.658942,2.7740922
BIBLIOTHÈQUE;Rue Grande;77390;77;CHAMPDEUIL;;;;;;;;;;;;;;;;48.6186561,2.7349908
MEDIATHEQUE DE LA FERME CORSANGE;2 A rue aux Maigres;77400;77;BAILLY-ROMAINVILLIERS;;;;;;;;;;;;;;;;48.8477783,2.825462
BIBLIOTHÈQUE BALZAC DE VILLENEUVE-SAINT-GEORGES;18 ter rue Balzac;94190;94;VILLENEUVE-SAINT-GEORGES;;;;;;;;;;;;;;;;48.7297281,2.4492426
BIBLIOTHÈQUE ANNEXE DU PONT DE CRETEIL;23 avenue Henri Martin;94100;94;SAINT-MAUR-DES-FOSSÉS;;;;;;;;;;;;;;;;48.7994237,2.4883913
BIBLIOTHÈQUE MUNICIPALE;5 rue de l'Indépendance Américaine;78000;78;VERSAILLES;;;;;;;;;;;;;;;;48.8020619,2.1209407
BIBLIOTHÈQUE;38 rue Sœur Azélie;95170;95;DEUIL-LA-BARRE;;;;;;;;;;;;;;;;48.9721649,2.3262798
MÉDIATHÈQUE LE NAUTILUS;12 bis Square des Fêtes;78450;78;VILLEPREUX;Subvention Région 2011;;;;;;;;;;;;284241;;;48.8266737,2.0010643
BIBLIOTHÈQUE MUNICIPALE CONSTANTIN ANDREOU;Hôtel de Ville;91620;91;LA-VILLE-DU-BOIS;;;;;;;;;;;;;;;;48.6823383,2.2366317
BIBLIOTHÈQUE MÉDIATHÈQUE LA GR@NGE;9 rue de Rimoron;91650;91;BREUX-JOUY;;;;;;;;;;;;;;;;48.5576305,2.1555684
BIBLIOTHÈQUE DES GONDOLES DE CHOISY-LE-ROI;1 avenue d'Alfortville;94600;94;CHOISY-LE-ROI;;;;;;;;;;;;;;;;48.7670972,2.4140393
BIBLIOTHÈQUE MUNICIPALE GEORGES BRASSENS;Place de la Libération;95370;95;MONTIGNY-LÈS-CORMEILLES;;;;;;;;;;;;;;;;48.9912819,2.1670053
BIBLIOTHÈQUE DE QUARTIER DES CHÊNES;7 allée des Primevères;92150;92;SURESNES;;;;;;;;;;;;;;;;48.8805559,2.2240653
BIBLIOTHÈQUE MUNICIPALE;3 place Bernard Dautier;78140;78;VÉLIZY-VILLACOUBLAY;;;;;;;;;;;;;;;;48.7823775,2.188521
MÉDIATHÈQUE MUNICIPALE;Salle du Noyer;91640;91;VAUGRIGNEUSE;;;;;;;;;;;;;;;;48.603098,2.120103
BIBLIOTHÈQUE MUNICIPALE LE BRÉAU ANNEXE;Rue des Rossignols;77300;77;FONTAINEBLEAU;;;;;;;;;;;;;;;;48.3993884,2.7135599
BIBLIOTHÈQUE MUNICIPALE;31 rue Dauvilliers;91290;91;ARPAJON;;;;;;;;;;;;;;;;48.5897156,2.2518801
MÉDIATHÈQUE ALBERT CAMUS;11 rue Félix Merlin;93800;93;ÉPINAY-SUR-SEINE;;;;;;;;;;;;;;;;48.9557399,2.3008806
BIBLIOTHÈQUE MUNICIPALE;Rue Yolande Morice;78111;78;DAMMARTIN-EN-SERVE;;;;;;;;;;;;;;;;48.9041025,1.6163859
BIBLIOTHÈQUE MUNICIPALE;Rue du Président Kennedy;94370;94;NOISEAU;;;;;;;;;;;;;;;;48.7771124,2.5475246
MÉDIATHÈQUE MUNICIPALE GEORGES BRASSENS;16 avenue Jean Jaurès;77290;77;MITRY-MORY;;;;;;;;;;;;;;;;48.9553437,2.6000059
MÉDIATHÈQUE FERME DU BUISSON;Allée de la Ferme;77186;77;NOISIEL;Subvention Région 2002;;;858884;;;;;;;;;;;;48.8448064,2.6250278
MÉDIATHÈQUE MUNICIPALE;23 rue de Martroy;91610;91;BALLANCOURT-SUR-ESSONNE;Subvention Région 2013;;;;;;;;;;;;;;597870;48.5244162,2.3822837
BIBLIOTHÈQUE JACQUES PRÉVERT;Boulevard Jacques Decour;93150;93;LE-BLANC-MESNIL;;;;;;;;;;;;;;;;48.9247589,2.4743192
BIBLIOTHÈQUE MUNICIPALE;1 route de Flexanville;78910;78;ORGERUS;;;;;;;;;;;;;;;;48.840719,1.7055705
POINT LECTURE DU TREMBLAY-SUR-MAULDRE;Espace Blaise Cendars - Rue du Pavé;78490;78;LE-TREMBLAY-SUR-MAULDRE;;;;;;;;;;;;;;;;48.7782229,1.88006
LUDO-MÉDIATHÈQUE;1 place du 19 mars 1962;95470;95;FOSSES;Subvention Région 2010;;;;;;;;;;;425453;;;;49.098645,2.516668
BIBLIOTHÈQUE DE SANTENY;3 route de Marolles;94440;94;SANTENY;;;;;;;;;;;;;;;;48.728536,2.570834
MÉDIATHÈQUE DU PETIT NANTERRE;6 place des Muguets;92000;92;NANTERRE;;;;;;;;;;;;;;;;48.9098376,2.220278
BIBLIOTHÈQUE INTERCOMMUNALE ANNA LANGFUS;37 boulevard Henri Bergson;95200;95;SARCELLES;;;;;;;;;;;;;;;;48.9767235,2.3768554
MÉDIATHÈQUE MUNICIPALE;Square Jules Ferry;95110;95;SANNOIS;;;;;;;;;;;;;;;;48.9696329,2.2572453
BIBLIOTHÈQUE MÉDIATHÈQUE ANDRÉ MALRAUX;17 rue Jacques Coeur;91600;91;SAVIGNY-SUR-ORGE;;;;;;;;;;;;;;;;48.6775588,2.3476512
BIBLIOTHÈQUE MUNICIPALE;1 place de la Mairie;91470;91;LES-MOLIERES;;;;;;;;;;;;;;;;48.6728478,2.0696833
BIBLIOTHÈQUE DE L'ALMONT;9 rue Claude Bernard;77000;77;MELUN;;;;;;;;;;;;;;;;48.543093,2.67704
BIBLIOTHÈQUE LUCIE AUBRAC;13-15 rue Eugène Berthoud;93400;93;SAINT-OUEN;;;;;;;;;;;;;;;;48.9066016,2.3455702
BIBLIOTHÈQUE VAUGIRARD;154 rue Lecourbe;75015;75;PARIS;;;;;;;;;;;;;;;;48.841894,2.2992152
MÉDIATHÈQUE RAYMOND QUENEAU;5 rue du 8 mai 1945;91130;91;RIS-ORANGIS;;;;;;;;;;;;;;;;48.6570709,2.4106158
MÉDIATHÈQUE ÉMILE ZOLA;8 rue de la Mairie;78660;78;ABLIS;;;;;;;;;;;;;;;;48.517149,1.8331736
BIBLIOTHÈQUE ROBERT DOISNEAU;30-40 rue Francois Kovac;92237;92;GENNEVILLIERS;;;;;;;;;;;;;;;;48.9175129,2.3013034
BIBLIOTHÈQUE BENJAMIN RABIER;141 rue de Flandre;75019;75;PARIS;;;;;;;;;;;;;;;;48.8926281,2.3791233
MÉDIATHÈQUE DE BURES-SUR-YVETTE;7 impasse de la Station;91440;91;BURES-SUR-YVETTE;;;;;;;;;;;;;;;;48.6961796,2.1635
BIBLIOTHÈQUE CARTIER BRESSON;2 route du Moulin Bourcier;77600;77;CHANTELOUP-EN-BRIE;;;;;;;;;;;;;;;;48.8564094,2.7386953
MÉDIATHÈQUE DE L'AGORA;109 place de l'Agora;91000;91;EVRY;;;;;;;;;;;;;;;;48.6292,2.430085
BIBLIOTHÈQUE BIBLIO RÊVES MÉDIATHÈQUE;5 place de la Mairie;78730;78;PONTHÉVRARD;;;;;;;;;;;;;;;;48.5531165,1.911416
BIBLIOTHÈQUE JULES VERNE;73 rue Édouard Vaillant;93500;93;PANTIN;;;;;;;;;;;;;;;;48.9016925,2.3933099
BIBLIOTHÈQUE GUY DE MAUPASSANT;11 avenue du Général de Gaulle;93360;93;NEUILLY-PLAISANCE;;;;;;;;;;;;;;;;48.8610123,2.5056212
BIBLIOTHÈQUE PORTE MONTMARTRE;18 avenue de la Porte Montmartre;75018;75;PARIS;;;;;;;;;;;;;;;;48.8988196,2.3873265
BIBLIOTHÈQUE MUNICIPALE;Route de Denisy;78330;78;SAINTE-MESME;;;;;;;;;;;;;;;;48.5418083,1.9392196
MÉDIATHÈQUE MUNICIPALE;Place du Jeu de Paume;78730;78;SAINT-ARNOULT-EN-YVELINES;;;;;;;;;;;;;;;;48.571308,1.940096
BIBLIOTHÈQUE MUNICIPALE LOUIS ARAGON;Hôtel de ville - 23 rue de Paris;94340;94;JOINVILLE-LE-PONT;;;;;;;;;;;;;;;;48.8181395,2.4664638
MÉDIATHÈQUE MUNICIPALE LÉO FERRÉ;5 rue Alfred Dubois;91460;91;MARCOUSSIS;Subvention Région 2005;;;;;;228749;;;;;;;;;48.6431769,2.2314522
BIBLIOTHÈQUE MUNICIPALE;Place Trudaine;77520;77;MONTIGNY-LENCOUP;;;;;;;;;;;;;;;;48.452523,3.0618219
BIBLIOTHÈQUE MUNICIPALE;Mairie;91190;91;GIF-SUR-YVETTE;;;;;;;;;;;;;;;;48.7019783,2.1338592
BIBLIOTHÈQUE MUNICIPALE;Mairie - Impasse Camus;77430;77;CHAMPAGNE-SUR-SEINE;;;;;;;;;;;;;;;;48.399431,2.797807
BIBLIOTHÈQUE MUNICIPALE;5 cour de la Ferme;78640;78;VILLIERS-SAINT-FRÉDÉRIC;;;;;;;;;;;;;;;;48.8188825,1.891768
BIBLIOTHÈQUE MUNICIPALE GUILLAUME APOLLINAIRE;14 rue Alexandre Prachay;95300;95;PONTOISE;;;;;;;;;;;;;;;;49.0488364,2.0993371
ANNEXE JEAN JAURÈS;46 rue Jean Jaurès;78190;78;TRAPPES;;;;;;;;;;;;;;;;48.7759093,1.9994348
MÉDIATHÈQUE MUNICIPALE FRANÇOIS MAURIAC;20 rue Robert Peltier;95190;95;GOUSSAINVILLE;;;;;;;;;;;;;;;;49.0353261,2.4583836
BIBLIOTHÈQUE ANNEXE DE LA VARENNE;Carré Médicis 5 rue Saint-Hilaire;94100;94;SAINT-MAUR-DES-FOSSÉS;;;;;;;;;;;;;;;;48.7930977,2.5143124
MÉDIATHÈQUE JEAN RENAUDIE;52 rue Roger Salengro;93340;93;VILLETANEUSE;;;;;;;;;;;;;;;;48.9640194,2.3440622
BIBLIOTHÈQUE JULES VERNE;7 rue du Capitaine Guise;78800;78;HOUILLES;;;;;;;;;;;;;;;;48.9229912,2.1923476
MÉDIATHÈQUE ANDRÉE CHEDID;6 avenue des Gardes Messiers;91360;91;VILLEMOISSON-SUR-ORGE;Subvention Région 2006;;;;;;;256410;;;;;;;;48.6601672,2.3270676
BIBLIOTHÈQUE MUNICIPALE;41 rue de Colombes;92400;92;COURBEVOIE;;;;;;;;;;;;;;;;48.8986944,2.2556887
MÉDIATHÈQUE JEAN MOULIN;2 rue Boieldieu;94350;94;VILLIERS-SUR-MARNE;;;;;;;;;;;;;;;;48.8263054,2.5414045
BIBLIOTHÈQUE MUNICIPALE;Place de la Mairie;91840;91;SOISY-SUR-ECOLE;;;;;;;;;;;;;;;;48.4748135,2.4967759
BIBLIOTHÈQUE OUEST DE VINCENNES;27 rue des Laitieres;94300;94;VINCENNES;;;;;;;;;;;;;;;;48.8471783,2.4235162
MÉDIATHÈQUE DE MONDÉTOUR;Maison quartier Pierre Mendès-France - Place Guaydier;91400;91;ORSAY;;;;;;;;;;;;;;;;48.69853,2.188199
BIBLIOTHÈQUE MUNICIPALE;6 route de l'Hirondelle;78490;78;MAREIL-LE-GUYON;;;;;;;;;;;;;;;;48.7897898,1.8475743
BIBLIOTHÈQUE MUNICIPALE;Rue de la Mairie;78125;78;GAZERAN;;;;;;;;;;;;;;;;48.6363135,1.7746942
BIBLIOTHÈQUE DES JEUNES FERNAND DUPUY;Parc de la Mairie;94600;94;CHOISY-LE-ROI;;;;;;;;;;;;;;;;48.7629488,2.4084187
BIBLIOTHÈQUE MUNICIPALE;École primaire Grangeon - 1 route de Labbeville;95810;95;VALLANGOUJARD;;;;;;;;;;;;;;;;49.1370147,2.1144109
MÉDIATHÈQUE CHÂTEAU DES DAMES;Rue du 19 Mars 1962;77820;77;LE-CHÂTELET-EN-BRIE;;;;;;;;;;;;;;;;48.5044134,2.7878871
DISCOTHEQUE MUNICIPALE;134 rue Pierre Sémard;94210;94;LA-VARENNE-SAINT-HILAIRE;;;;;;;;;;;;;;;;48.7622944,2.4754654
BIBLIOTHÈQUE DE LIMEIL-BRÉVANNES;27 quater avenue de la Sablière;94450;94;LIMEIL-BREVANNES;Subvention Région 2013;;;;;;;;;;;;;;900000;48.7541415,2.4931192
BIBLIOTHÈQUE PIERRE BOURDAN;37 avenue de Saint-Germain;78160;78;MARLY-LE-ROI;Subvention Région 2009;;;;;;;;;;198693;;;;;48.8759246,2.0953474
MÉDIATHÈQUE DU GUICHET;4 rue de Versailles - Place Pierre-Gilles de Gennes;91400;91;ORSAY;;;;;;;;;;;;;;;;48.705258,2.190912
BIBLIOTHÈQUE HERGÉ;2-4 rue du Département;75019;75;PARIS;;;;;;;;;;;;;;;;48.8852459,2.3670231
BIBLIOTHÈQUE MUNICIPALE;2 rue d'Andret;78660;78;PRUNAY-EN-YVELINES;;;;;;;;;;;;;;;;48.5278131,1.7947819
BIBLIOTHÈQUE DAMIERS;30 place des Saisons;92400;92;COURBEVOIE;;;;;;;;;;;;;;;;48.8895847,2.2519764
MÉDIATHÈQUE MUNICIPALE JACQUES BAUMEL;15-21 boulevard Foch;92500;92;RUEIL-MALMAISON;;;;;;;;;;;;;;;;48.8777913,2.1797046
BIBLIOTHÈQUE;Ancienne Mairie;91410;91;SAINT-ESCOBILLE;;;;;;;;;;;;;;;;48.429887,1.966988
BIBLIOTHÈQUE MUNICIPALE;Rue de la Ferté-Gaucher;77510;77;BELLOT;;;;;;;;;;;;;;;;48.8456959,3.3255926
BIBLIOTHÈQUE JACQUES PREVERT;6 rue de Schotten;91560;91;CROSNE;Subvention Région 2009;;;;;;;;;;247367;;;;;48.7163714,2.4601788
MÉDIATHÈQUE MUNICIPALE;27 rue de la Poste;91810;91;VERT-LE-GRAND;;;;;;;;;;;;;;;;48.5706857,2.3610209
MÉDIATHÈQUE MAX-POL FOUCHET;7 rue Paul Langevin;93340;93;VILLETANEUSE;;;;;;;;;;;;;;;;48.9515957,2.3411314
BIBLIOTHÈQUE ANTOINE DE SAINT-EXUPÉRY;43 avenue Aristide Briand;91550;91;PARAY-VIEILLE-POSTE;;;;;;;;;;;;;;;;48.7099401,2.3628784
BIBLIOTHÈQUE MUNICIPALE;14 rue de Houdan;78610;78;LE-PERRAY-EN-YVELINES;;;;;;;;;;;;;;;;48.6953964,1.8501487
BIBLIOTHÈQUE DE PETITS-BOIS;6 rue Bernard de Jussieu;78000;78;VERSAILLES;;;;;;;;;;;;;;;;48.8093422,2.156797
MÉDIATHÈQUE MUNICIPALE ÉMILE BERNARD;15 rue de la Concorde;92600;92;ASNIÈRES-SUR-SEINE;;;;;;;;;;;;;;;;48.9117418,2.2912373
MÉDIATHÈQUE JACQUES BREL;136 rue de l'Abbé Glatz;92270;92;BOIS-COLOMBES;;;;;;;;;;;;;;;;48.9233533,2.270074
MÉDIATHÈQUE THÉODORE MONOD;Place François Truffaut;95210;95;SAINT-GRATIEN;;;;;;;;;;;;;;;;48.970259,2.286571
BIBLIOTHÈQUE DU PAYS DE FRANCE;Maison Erik Satie - 2 rue Saint-Damien;95270;95;LUZARCHES;;;;;;;;;;;;;;;;49.112107,2.422295
